year	title	doi	source	oa
2023	Optimized <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mrow><mml:mi mathvariant="script">O</mml:mi><mml:mo stretchy="false">(</mml:mo><mml:msubsup><mml:mrow><mml:mi>α</mml:mi></mml:mrow><mml:mrow><mml:mi>s</mml:mi></mml:mrow><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msubsup><mml:mo stretchy="false">)</mml:mo></mml:mrow></mml:math> Correction to Exclusive Double-<mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mi>J</mml:mi><mml:mo>/</mml:mo><mml:mi>ψ</mml:mi></mml:math> Production at <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mi>B</mml:mi></mml:math> Factories	https://doi.org/10.1103/physrevlett.131.161904	Physical Review Letters	true
2023	Isolated photon production in association with a jet pair through next-to-next-to-leading order in QCD	https://doi.org/10.1007/jhep10(2023)071	Journal of High Energy Physics	true
2023	FeAmGen.jl: A Julia Program for Feynman Amplitude Generation	https://doi.org/10.48550/arxiv.2310.07634	arXiv (Cornell University)	true
2023	Numerical scattering amplitudes with pySecDec	https://doi.org/10.1016/j.cpc.2023.108956	Computer Physics Communications	true
2023	Master integrals for electroweak corrections to $$gg\\rightarrow \\gamma \\gamma $$: light quark contributions	https://doi.org/10.1140/epjc/s10052-023-12032-6	The European Physical Journal C	true
2023	Singlet and anomaly contributions to massive QCD form factors	https://doi.org/10.22323/1.432.0045		true
2023	ε-factorized differential equations for two-loop non-planar triangle Feynman integrals with elliptic curves	https://doi.org/10.1007/jhep09(2023)187	Journal of High Energy Physics	true
2023	Preparing nonleptonic NNLO B meson decays: revisiting semileptonic decays	https://doi.org/10.22323/1.432.0041		true
2023	Revisiting semileptonic B meson decays at next-to-next-to-leading order	https://doi.org/10.1007/jhep09(2023)112	Journal of High Energy Physics	true
2023	A high-precision result for a full-color three-loop three-point form factor in ${\\cal N}=4$ SYM	https://doi.org/10.48550/arxiv.2309.04395	arXiv (Cornell University)	true
2023	Feynman integrals from positivity constraints	https://doi.org/10.1007/jhep09(2023)042	Journal of High Energy Physics	true
2023	Analytic result for the top-quark width at next-to-next-to-leading order in QCD	https://doi.org/10.1103/physrevd.108.054003	Physical review. D/Physical review. D.	true
2023	Feynman parameter integration through differential equations	https://doi.org/10.1103/physrevd.108.036024	Physical review. D/Physical review. D.	true
2023	Exploring the linear space of Feynman integrals via generating functions	https://doi.org/10.1103/physrevd.108.034027	Physical review. D/Physical review. D.	true
2023	Tropical Feynman integration in the Minkowski regime	https://doi.org/10.1016/j.cpc.2023.108874	Computer Physics Communications	true
2023	Two-loop Vertices with Vacuum Polarization Insertion	https://doi.org/10.48550/arxiv.2308.05028	arXiv (Cornell University)	true
2023	<mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mi>Z</mml:mi></mml:math>-boson radiative decays to an <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mi>S</mml:mi></mml:math>-wave quarkonium at NNLO and NLL accuracy	https://doi.org/10.1103/physrevd.108.014021	Physical review. D/Physical review. D.	true
2023	<mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" altimg="si1.svg"><mml:mi mathvariant="script">O</mml:mi><mml:mo stretchy="false">(</mml:mo><mml:msubsup><mml:mrow><mml:mi>α</mml:mi></mml:mrow><mml:mrow><mml:mi>s</mml:mi></mml:mrow><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msubsup><mml:mo stretchy="false">)</mml:mo></mml:math> corrections to J/ψ + χ0,1,2 production at B factories	https://doi.org/10.1016/j.physletb.2023.138057	Physics Letters B	true
2023	All Two-Loop Feynman Integrals for Five-Point One-Mass Scattering	https://doi.org/10.48550/arxiv.2306.15431	arXiv (Cornell University)	true
2023	Real time lattice correlation functions from differential equations	https://doi.org/10.1007/jhep06(2023)128	Journal of High Energy Physics	true
2023	Probing the Higgs boson trilinear self-coupling through Higgs <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mrow><mml:mi>boson</mml:mi><mml:mo>+</mml:mo><mml:mtext>jet</mml:mtext></mml:mrow></mml:math> production	https://doi.org/10.1103/physrevd.107.115017	Physical review. D/Physical review. D.	true
2023	Master Integrals for Electroweak corrections to $gg \\toγγ$ -- Light quark contributions	https://doi.org/10.48550/arxiv.2306.03956	arXiv (Cornell University)	true
2023	Numerical Scattering Amplitudes with pySecDec	https://doi.org/10.48550/arxiv.2305.19768	arXiv (Cornell University)	true
2023	Two-loop master integrals for a planar and a non-planar topology relevant for single top production	https://doi.org/10.1007/jhep05(2023)131	Journal of High Energy Physics	true
2023	Massive three-loop form factors: Anomaly contribution	https://doi.org/10.1103/physrevd.107.094017	Physical review. D/Physical review. D.	true
2023	Top and bottom quark forward-backward asymmetries at next-to-next-to-leading order QCD in (un)polarized electron positron collisions	https://doi.org/10.1007/jhep05(2023)094	Journal of High Energy Physics	true
2023	GKZ hypergeometric systems of the three-loop vacuum Feynman integrals	https://doi.org/10.1007/jhep05(2023)075	Journal of High Energy Physics	true
2023	Feynman Integrals from Positivity Constraints	https://doi.org/10.48550/arxiv.2303.15624	Edinburgh Research Explorer	true
2023	Feynman integral calculation promoting the era of high-precision particle physics	https://doi.org/10.1360/sspma-2022-0454	Zhongguo kexue. Wulixue Lixue Tianwenxue	true
2023	Two-loop form factors for pseudo-scalar quarkonium production and decay	https://doi.org/10.1007/jhep02(2023)250	Journal of High Energy Physics	true
2023	Module intersection and uniform formula for iterative reduction of one-loop integrals	https://doi.org/10.1007/jhep02(2023)178	Journal of High Energy Physics	true
2023	Analytic two-loop master integrals for tW production at hadron colliders. Part II	https://doi.org/10.1007/jhep02(2023)127	Journal of High Energy Physics	true
2023	Les Houches 2021—physics at TeV colliders: report on the standard model precision wishlist	https://doi.org/10.1088/1361-6471/acbaec	Journal of Physics G Nuclear and Particle Physics	true
2023	Next-to-next-to-leading-order QCD corrections to J/ψ plus ηc production at the B factories	https://doi.org/10.1007/jhep02(2023)049	Journal of High Energy Physics	true
2023	The parton-level structure of e+e− to 2 jets at N3LO	https://doi.org/10.1007/jhep01(2023)168	Journal of High Energy Physics	true
2023	Two-loop master integrals for a planar topology contributing to pp → $$ t\\overline{t}j $$	https://doi.org/10.1007/jhep01(2023)156	Journal of High Energy Physics	true
2023	Muon-electron scattering at NNLO	https://doi.org/10.1007/jhep01(2023)112	Journal of High Energy Physics	true
2023	One-loop hexagon integral to higher orders in the dimensional regulator	https://doi.org/10.1007/jhep01(2023)096	Journal of High Energy Physics	true
2023	Two-Loop Electroweak Corrections with Fermion Loops to <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mrow><mml:msup><mml:mrow><mml:mi>e</mml:mi></mml:mrow><mml:mrow><mml:mo>+</mml:mo></mml:mrow></mml:msup><mml:msup><mml:mrow><mml:mi>e</mml:mi></mml:mrow><mml:mrow><mml:mo>−</mml:mo></mml:mrow></mml:msup><mml:mo stretchy="false">→</mml:mo><mml:mi>Z</mml:mi><mml:mi>H</mml:mi></mml:mrow></mml:math>	https://doi.org/10.1103/physrevlett.130.031801	Physical Review Letters	true
2022	Next-to-next-to-leading order matching of beauty-charmed meson <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:msub><mml:mi>B</mml:mi><mml:mi>c</mml:mi></mml:msub></mml:math> and <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:msubsup><mml:mi>B</mml:mi><mml:mi>c</mml:mi><mml:mo>*</mml:mo></mml:msubsup></mml:math> decay constants	https://doi.org/10.1103/physrevd.106.114037	Physical review. D/Physical review. D.	true
2022	Analytic result for the top-quark width at next-to-next-to-leading order in QCD	https://doi.org/10.48550/arxiv.2212.06341	arXiv (Cornell University)	true
2022	Analytic two-loop QCD amplitudes for <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mi>t</mml:mi><mml:mi>W</mml:mi></mml:math> production: Leading color and light fermion-loop contributions	https://doi.org/10.1103/physrevd.106.096029	Physical review. D/Physical review. D.	true
2022	Determining Feynman Integrals with Only Input from Linear Algebra	https://doi.org/10.1103/physrevlett.129.222001	Physical Review Letters	true
2022	<mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mi>Z</mml:mi></mml:math> boson radiative decays to a <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mi>P</mml:mi></mml:math>-wave quarkonium at NNLO and LL accuracy	https://doi.org/10.1103/physrevd.106.094023	Physical review. D/Physical review. D.	true
2022	Three-loop master integrals for the Higgs boson self-energy with internal top-quarks and W-bosons	https://doi.org/10.1007/jhep11(2022)051	Journal of High Energy Physics	true
2022	Kira and the block-triangular form	https://doi.org/10.22323/1.416.0071		true
2022	Two-loop mixed QCD-EW corrections to neutral current Drell-Yan	https://doi.org/10.22323/1.416.0070		true
2022	Master integrals for $$ \\mathcal{O} $$(ααs) corrections to H → ZZ*	https://doi.org/10.1007/jhep10(2022)056	Journal of High Energy Physics	true
2022	Heavy-quark pair production at lepton colliders at NNNLO in QCD	https://doi.org/10.48550/arxiv.2209.14259	arXiv (Cornell University)	true
2022	One-loop squared amplitudes for hadronic tW production at next-to-next-to-leading order in QCD	https://doi.org/10.1007/jhep08(2022)211	Journal of High Energy Physics	true
2022	One-loop QCD helicity amplitudes for pp → $$ t\\overline{t}j $$ to O(ε2)	https://doi.org/10.1007/jhep06(2022)066	Journal of High Energy Physics	true
2022	New approach for amplitudes with multiple fermion lines *	https://doi.org/10.1088/1674-1137/ac6a4e	Chinese Physics C	true
2022	Automatic computation of Feynman integrals containing linear propagators via auxiliary mass flow	https://doi.org/10.1103/physrevd.105.074003	Physical review. D/Physical review. D.	true
2022	${\\mathcal O}(α_s^2)$ corrections to $J/ψ+χ_{c0,1,2}$ production at $B$ factories	https://doi.org/10.48550/arxiv.2202.11615	arXiv (Cornell University)	true
2022		https://doi.org/10.1007/jhep09(2022)194	Archivio istituzionale della ricerca (Alma Mater Studiorum Università di Bologna)	true
